accession	genome	experiment_type	num_reads
SRX495119	ce11	RNA polymerase	8982852
SRX495120	ce11	RNA polymerase	19824579
SRX495122	ce11	TFs and others	22015477
SRX495124	ce11	TFs and others	24225155
SRX4996803	ce11	TFs and others	21341230
SRX4996804	ce11	TFs and others	15747489
SRX4996805	ce11	TFs and others	13986985
SRX4996806	ce11	TFs and others	18937560
SRX4996807	ce11	TFs and others	20945035
SRX4996808	ce11	TFs and others	16457303
SRX4996809	ce11	TFs and others	24332188
SRX4996810	ce11	TFs and others	16829782
SRX4996811	ce11	TFs and others	17088064
SRX5020695	ce11	Histone	3720668
SRX5020696	ce11	Histone	10581396
SRX5020697	ce11	Histone	9275499
SRX5020698	ce11	Histone	5534775
SRX5020699	ce11	Histone	5774466
SRX5020700	ce11	Histone	5251918
SRX5020701	ce11	Histone	6284938
SRX5020702	ce11	Histone	5738369
SRX5020703	ce11	Histone	5275699
SRX5020704	ce11	Histone	5511544
SRX5020705	ce11	Histone	9986477
SRX5020706	ce11	Histone	9748012
SRX5020707	ce11	Histone	6012668
SRX5020708	ce11	Histone	6891148
SRX5020709	ce11	Histone	6701837
SRX5020710	ce11	Histone	7106634
SRX5020711	ce11	Histone	3793630
SRX5020712	ce11	Histone	4768734
SRX5020713	ce11	Histone	8760716
SRX5020714	ce11	Histone	10412425
SRX5020715	ce11	Histone	10825090
SRX5020716	ce11	Histone	7171554
SRX5020717	ce11	Histone	8587074
SRX5020718	ce11	Histone	8528916
SRX5020719	ce11	Histone	10680337
SRX5020720	ce11	Histone	9608336
SRX5020721	ce11	Histone	7880897
SRX5020722	ce11	Histone	19352427
SRX5020723	ce11	Histone	20125724
SRX5020724	ce11	Histone	4862714
SRX5020725	ce11	Histone	18323763
SRX5020726	ce11	Histone	8359926
SRX5020727	ce11	Histone	5756432
SRX5020728	ce11	Histone	15967421
SRX5020729	ce11	Histone	7616058
SRX5020730	ce11	Histone	11566894
SRX5020731	ce11	Histone	6799530
SRX5020732	ce11	Histone	5721404
SRX5020733	ce11	Histone	15813823
SRX5020734	ce11	Histone	7997890
SRX5020735	ce11	Histone	10810147
SRX5020736	ce11	Histone	6921054
SRX5020737	ce11	Histone	5533233
SRX5020738	ce11	Histone	5742321
SRX5020739	ce11	Histone	4222456
SRX5020740	ce11	Histone	4768014
SRX5020741	ce11	Histone	14683017
SRX5020742	ce11	Histone	13993764
SRX5020743	ce11	Histone	21494488
SRX5020744	ce11	Histone	20115882
SRX5020745	ce11	Histone	11435544
SRX5020746	ce11	Histone	7084482
SRX5020747	ce11	Histone	18065351
SRX5020748	ce11	Histone	5927314
SRX5020749	ce11	Histone	5568148
SRX5020750	ce11	Histone	27817518
SRX5020751	ce11	Histone	8621262
SRX5020752	ce11	Histone	7405531
SRX5020755	ce11	Histone	4428898
SRX5020756	ce11	Histone	5187616
SRX5020757	ce11	Histone	1447683
SRX5020758	ce11	Histone	6143335
SRX5020759	ce11	TFs and others	33697049
SRX5020760	ce11	TFs and others	20732212
SRX5020761	ce11	TFs and others	15276123
SRX5020762	ce11	TFs and others	12014281
SRX5020763	ce11	TFs and others	14563646
SRX5020764	ce11	TFs and others	16732587
SRX5020765	ce11	RNA polymerase	15513693
SRX5020766	ce11	RNA polymerase	8348211
SRX5020767	ce11	RNA polymerase	24711238
SRX5020768	ce11	RNA polymerase	12685473
SRX5020769	ce11	RNA polymerase	18036313
SRX5020770	ce11	RNA polymerase	13436168
SRX5020771	ce11	TFs and others	9839031
SRX5020772	ce11	TFs and others	10840451
SRX5020773	ce11	TFs and others	15153575
SRX5020774	ce11	TFs and others	20230030
SRX5020775	ce11	TFs and others	19467594
SRX5020776	ce11	TFs and others	4268679
SRX5020777	ce11	TFs and others	14229397
SRX5020778	ce11	TFs and others	5270968
SRX5020779	ce11	TFs and others	6066125
SRX5020780	ce11	TFs and others	7062296
SRX5020781	ce11	TFs and others	7886536
SRX5020782	ce11	TFs and others	6376353
SRX5020783	ce11	TFs and others	6972757
SRX5020784	ce11	TFs and others	17029652
SRX5020785	ce11	TFs and others	15728448
SRX5020786	ce11	TFs and others	7467832
SRX5020787	ce11	TFs and others	17082672
SRX5020788	ce11	TFs and others	13151464
SRX5020789	ce11	TFs and others	5328821
SRX5020790	ce11	TFs and others	5515691
SRX5020791	ce11	TFs and others	5640309
SRX5020792	ce11	Histone	10164035
SRX5020793	ce11	Histone	7236232
SRX5020794	ce11	Histone	11496496
SRX5020795	ce11	Histone	10236006
SRX5064640	ce11	Histone	27259598
SRX5064642	ce11	Histone	16090837
SRX5073497	ce11	TFs and others	25794530
SRX5073498	ce11	TFs and others	25177705
SRX5073499	ce11	TFs and others	27409706
SRX5073500	ce11	TFs and others	25496409
SRX5099382	ce11	TFs and others	28295179
SRX5099383	ce11	TFs and others	50653557
SRX514567	ce11	Histone	5046407
SRX514568	ce11	Histone	5096702
SRX514727	ce11	Histone	7071736
SRX514729	ce11	Histone	4104181
SRX515120	ce11	TFs and others	5139276
SRX515121	ce11	TFs and others	2955703
SRX529208	ce11	Histone	19141045
SRX529209	ce11	Histone	20333805
SRX529212	ce11	Histone	23070060
SRX529213	ce11	Histone	19253374
SRX529216	ce11	TFs and others	14099125
SRX529217	ce11	TFs and others	13002342
SRX529220	ce11	TFs and others	27642393
SRX529221	ce11	TFs and others	26022245
SRX529224	ce11	Histone	8711649
SRX529225	ce11	Histone	20038036
SRX529228	ce11	Histone	14054183
SRX529229	ce11	Histone	10874584
SRX5402697	ce11	Histone	30711065
SRX5402698	ce11	Histone	25974752
SRX5402699	ce11	Histone	32338477
SRX5402700	ce11	Histone	27481793
SRX5402701	ce11	Histone	25786876
SRX5402702	ce11	Histone	24621924
SRX5402703	ce11	Histone	20392638
SRX5402704	ce11	Histone	19023518
SRX5402705	ce11	Histone	35957579
SRX5402706	ce11	Histone	24297646
SRX5402707	ce11	Histone	42455837
SRX5402708	ce11	Histone	33352250
SRX5402709	ce11	Histone	40110722
SRX5402710	ce11	Histone	25497184
SRX5402711	ce11	Histone	34531212
SRX5402712	ce11	Histone	20399108
SRX5402713	ce11	Histone	30087212
SRX5402714	ce11	Histone	30585176
SRX5402715	ce11	Histone	32668453
SRX5402716	ce11	Histone	34323165
SRX5402717	ce11	Histone	24869622
SRX5402718	ce11	Histone	38462838
SRX5402719	ce11	Histone	7963731
SRX5402720	ce11	Histone	42267115
SRX5402721	ce11	Histone	21718754
SRX5402722	ce11	Histone	11328065
SRX5402723	ce11	Histone	5092384
SRX5402724	ce11	Histone	23857285
SRX5402725	ce11	Histone	31177070
SRX5402726	ce11	Histone	4541733
SRX5402727	ce11	Histone	5713630
SRX5402728	ce11	Histone	23847839
SRX5402729	ce11	Histone	3253636
SRX5402730	ce11	Histone	24353821
SRX5402731	ce11	Histone	31280312
SRX5402732	ce11	Histone	6768843
SRX5402733	ce11	Histone	6980982
SRX5402734	ce11	Histone	21536063
SRX5402735	ce11	Histone	3488323
SRX5402736	ce11	Histone	22553583
SRX5402737	ce11	Histone	20679782
SRX5402738	ce11	Histone	8227271
SRX5402739	ce11	Histone	41191721
SRX5402740	ce11	Histone	29950235
SRX5402741	ce11	Histone	32344770
SRX5402742	ce11	Histone	18678904
SRX5402743	ce11	Histone	23575875
SRX5402744	ce11	Histone	49034372
SRX5402745	ce11	Histone	35003294
SRX5402746	ce11	Histone	29913010
SRX5402747	ce11	Histone	32212115
SRX5402748	ce11	Histone	36790196
SRX5402749	ce11	Histone	25026804
SRX5402750	ce11	Histone	45111121
SRX5402751	ce11	Histone	30897440
SRX5402752	ce11	Histone	35077861
SRX5402753	ce11	Histone	61657199
SRX5402754	ce11	Histone	25740955
SRX5545237	ce11	TFs and others	89419961
SRX5545238	ce11	TFs and others	86239849
SRX5545240	ce11	TFs and others	75473212
SRX5545241	ce11	TFs and others	93004377
SRX5545243	ce11	TFs and others	85576422
SRX5545244	ce11	TFs and others	90606086
SRX5545246	ce11	TFs and others	43368755
SRX554716	ce11	RNA polymerase	1972973
SRX554717	ce11	RNA polymerase	2717950
SRX554718	ce11	RNA polymerase	1931063
SRX554720	ce11	RNA polymerase	1829269
SRX554721	ce11	RNA polymerase	6355171
SRX554722	ce11	RNA polymerase	2981950
SRX554723	ce11	Histone	1510696
SRX554724	ce11	Histone	8252117
SRX554734	ce11	Histone	7539884
SRX554735	ce11	RNA polymerase	11146393
SRX560681	ce11	TFs and others	5798539
SRX560682	ce11	TFs and others	8772844
SRX560683	ce11	TFs and others	4904548
SRX5709762	ce11	TFs and others	27392700
SRX5709763	ce11	TFs and others	27893567
SRX5709764	ce11	TFs and others	25014296
SRX5709768	ce11	TFs and others	30203719
SRX5709769	ce11	TFs and others	32921676
SRX5709770	ce11	TFs and others	28106398
SRX5729148	ce11	Histone	11313276
SRX5729149	ce11	Histone	10378315
SRX5729150	ce11	Histone	12029672
SRX5985664	ce11	Histone	17075468
SRX5985666	ce11	Histone	19842184
SRX5985668	ce11	Histone	20010084
SRX5985670	ce11	Histone	29916745
SRX5985672	ce11	Histone	21089109
SRX5985674	ce11	Histone	19194338
SRX5985676	ce11	Histone	52868835
SRX5985678	ce11	Histone	32897127
SRX657409	ce11	TFs and others	14817259
SRX657411	ce11	TFs and others	13371138
SRX6717193	ce11	TFs and others	46196347
SRX6717195	ce11	TFs and others	46393877
SRX6717197	ce11	TFs and others	52724146
SRX6717199	ce11	TFs and others	45160511
SRX6717201	ce11	TFs and others	8115321
SRX6717203	ce11	TFs and others	9518144
SRX6717205	ce11	TFs and others	16001701
SRX6717207	ce11	TFs and others	8560036
SRX6717209	ce11	TFs and others	13059725
SRX6717211	ce11	TFs and others	14177019
SRX6717213	ce11	TFs and others	18347061
SRX6717215	ce11	TFs and others	11552583
SRX6799182	ce11	Histone	28244193
SRX6799183	ce11	Histone	36690704
SRX6799184	ce11	Histone	37933523
SRX6799185	ce11	Histone	34054065
SRX6799186	ce11	Histone	35279189
SRX6799187	ce11	Histone	38150350
SRX6799188	ce11	Histone	36477308
SRX6799189	ce11	Histone	42139643
SRX6799190	ce11	Histone	34174635
SRX6799191	ce11	Histone	38761251
SRX6799192	ce11	Histone	34221432
SRX6799193	ce11	Histone	37378121
SRX7175088	ce11	TFs and others	26256039
SRX7202519	ce11	Histone	14989187
SRX7202520	ce11	Histone	16495713
SRX7202522	ce11	Histone	21068003
SRX7202523	ce11	Histone	14261675
SRX7202524	ce11	Histone	14692078
SRX7202525	ce11	Histone	17091793
SRX7217782	ce11	TFs and others	8636342
SRX7217783	ce11	TFs and others	8500222
SRX7217784	ce11	TFs and others	8765041
SRX7217785	ce11	TFs and others	7038331
SRX7217790	ce11	TFs and others	8389572
SRX7217791	ce11	TFs and others	7395069
SRX7217792	ce11	TFs and others	8412168
SRX7217793	ce11	TFs and others	9509995
SRX7246255	ce11	ATAC-Seq	17805098
SRX7246256	ce11	ATAC-Seq	30844847
SRX7246257	ce11	ATAC-Seq	40258548
SRX7246258	ce11	ATAC-Seq	25617132
SRX7246259	ce11	ATAC-Seq	12346232
SRX7246260	ce11	ATAC-Seq	55460313
SRX7246261	ce11	ATAC-Seq	15451154
SRX7246262	ce11	ATAC-Seq	20949365
SRX7246263	ce11	ATAC-Seq	16826488
SRX7246264	ce11	ATAC-Seq	28784975
SRX7246265	ce11	ATAC-Seq	10732604
SRX7246266	ce11	ATAC-Seq	32073993
SRX7246267	ce11	ATAC-Seq	11752793
SRX7246268	ce11	ATAC-Seq	34161503
SRX7246269	ce11	ATAC-Seq	23264534
SRX7246270	ce11	ATAC-Seq	19727431
SRX7246271	ce11	ATAC-Seq	27744099
SRX7246272	ce11	ATAC-Seq	13018833
SRX7246273	ce11	ATAC-Seq	33208398
SRX7246274	ce11	ATAC-Seq	97814500
SRX7246275	ce11	ATAC-Seq	2955970
SRX7246276	ce11	ATAC-Seq	15616360
SRX7246277	ce11	ATAC-Seq	25034886
SRX7262192	ce11	Histone	10020192
SRX7262193	ce11	Histone	10852432
SRX7262194	ce11	Histone	9435488
SRX7262195	ce11	Histone	6518497
SRX7262197	ce11	Histone	9157221
SRX7262198	ce11	Histone	5997165
SRX7262199	ce11	Histone	6646167
SRX7262200	ce11	Histone	4163318
SRX7262201	ce11	Histone	3444666
SRX7262205	ce11	Histone	5583079
SRX7262206	ce11	Histone	3581888
SRX7262207	ce11	Histone	6370948
SRX7262208	ce11	Histone	7180962
SRX7262209	ce11	Histone	7708268
SRX7262210	ce11	Histone	3655434
SRX7262211	ce11	Histone	10280426
SRX7262212	ce11	Histone	14003105
SRX7262213	ce11	Histone	15261138
SRX7262214	ce11	Histone	13314924
SRX7262215	ce11	Histone	9247400
SRX7262216	ce11	Histone	5872918
SRX7262217	ce11	Histone	5940876
SRX7262218	ce11	Histone	8695122
SRX7262219	ce11	Histone	4913051
SRX7262221	ce11	Histone	17986801
SRX7262222	ce11	Histone	8270184
SRX7262223	ce11	Histone	4361308
SRX7262224	ce11	Histone	6821424
SRX7262226	ce11	Histone	1462729
SRX7262227	ce11	Histone	6929800
SRX7262228	ce11	Histone	3651845
SRX7262229	ce11	Histone	2849153
SRX7262230	ce11	Histone	5401926
SRX7262231	ce11	Histone	2717461
SRX7262233	ce11	Histone	3996761
SRX7262234	ce11	Histone	7613748
SRX7262235	ce11	Histone	1909720
SRX7262236	ce11	Histone	7595899
SRX7262237	ce11	Histone	3823058
SRX7262239	ce11	Histone	4289752
SRX7262240	ce11	Histone	4267483
SRX7262241	ce11	Histone	10001083
SRX7262242	ce11	Histone	2274836
SRX743640	ce11	Histone	15677259
SRX743641	ce11	Histone	13719552
SRX743642	ce11	Histone	8858052
SRX743643	ce11	Histone	15651666
SRX743644	ce11	Histone	12110512
SRX743645	ce11	Histone	14452524
SRX743646	ce11	Histone	8671434
SRX743647	ce11	Histone	10087884
SRX743648	ce11	Histone	8392596
SRX743649	ce11	Histone	8999820
SRX743650	ce11	Histone	14530482
SRX743651	ce11	Histone	10326979
SRX747295	ce11	Histone	16180346
SRX747296	ce11	Histone	16294611
SRX747297	ce11	Histone	11035931
SRX747298	ce11	Histone	14616230
SRX747299	ce11	Histone	16538802
SRX747300	ce11	Histone	59934228
SRX747301	ce11	Histone	28914131
SRX747302	ce11	Histone	21338534
SRX747303	ce11	Histone	27367092
SRX747304	ce11	Histone	23980098
SRX747305	ce11	Histone	21320771
SRX747306	ce11	Histone	24755999
SRX7505498	ce11	TFs and others	8993763
SRX7574649	ce11	Histone	21934311
SRX7574650	ce11	Histone	23613829
SRX7574651	ce11	Histone	23870270
SRX7574652	ce11	Histone	29603116
SRX7627551	ce11	TFs and others	5666473
SRX7627552	ce11	TFs and others	5781099
SRX7627553	ce11	TFs and others	3682205
SRX7627594	ce11	TFs and others	29918182
SRX7627595	ce11	TFs and others	13642872
SRX7627596	ce11	TFs and others	13561672
SRX7635313	ce11	TFs and others	14232699
SRX7635314	ce11	TFs and others	11433374
SRX7665442	ce11	TFs and others	16767433
SRX7665443	ce11	TFs and others	14610558
SRX7665444	ce11	TFs and others	15470898
SRX7665445	ce11	TFs and others	5291123
SRX7665446	ce11	TFs and others	31310001
SRX7665447	ce11	TFs and others	6716566
SRX7665448	ce11	TFs and others	18104969
SRX7665449	ce11	TFs and others	10974271
SRX7665450	ce11	TFs and others	14213636
SRX7665451	ce11	TFs and others	31920556
SRX7665452	ce11	TFs and others	7779842
SRX7665453	ce11	TFs and others	21141764
SRX7687144	ce11	ATAC-Seq	27010582
SRX7687145	ce11	ATAC-Seq	30139182
SRX7687146	ce11	ATAC-Seq	39746363
SRX7687147	ce11	ATAC-Seq	27191206
SRX7687148	ce11	ATAC-Seq	25143065
SRX7687149	ce11	ATAC-Seq	27642635
SRX7687150	ce11	ATAC-Seq	29736773
SRX7687151	ce11	ATAC-Seq	32752234
SRX7687152	ce11	ATAC-Seq	30680231
SRX7687153	ce11	ATAC-Seq	27001433
SRX7687154	ce11	ATAC-Seq	22511278
SRX7687155	ce11	ATAC-Seq	26612955
SRX7756572	ce11	TFs and others	20228470
SRX7756574	ce11	TFs and others	17628417
SRX7879251	ce11	Histone	41940504
SRX7879252	ce11	Histone	60530886
SRX7879253	ce11	Histone	45228743
SRX7879254	ce11	Histone	42721018
SRX7879255	ce11	Histone	42913454
SRX7879256	ce11	Histone	40235808
SRX7879257	ce11	Histone	44815642
SRX7879258	ce11	Histone	39732741
SRX7879262	ce11	TFs and others	32553506
SRX7879263	ce11	TFs and others	34859115
SRX7879264	ce11	TFs and others	30577070
SRX7879265	ce11	TFs and others	31270331
SRX7879266	ce11	TFs and others	28254245
SRX7879267	ce11	TFs and others	29956757
SRX794054	ce11	TFs and others	39688560
SRX796306	ce11	TFs and others	36895783
SRX7971790	ce11	Histone	26073825
SRX7971791	ce11	Histone	26952738
SRX7971792	ce11	Histone	27891436
SRX7971793	ce11	Histone	24304532
SRX7971794	ce11	Histone	21768229
SRX7971795	ce11	Histone	24463817
SRX7971796	ce11	Histone	24827639
SRX7971797	ce11	Histone	23425507
SRX7971802	ce11	Histone	32221758
SRX7971803	ce11	Histone	40364270
SRX7971804	ce11	Histone	20409844
SRX7971805	ce11	Histone	32524259
SRX7971806	ce11	Histone	41470633
SRX7971807	ce11	Histone	28017931
SRX7971808	ce11	Histone	49428249
SRX7971809	ce11	Histone	27314673
SRX8331145	ce11	Histone	10743677
SRX8331146	ce11	Histone	15578265
SRX8331149	ce11	Histone	24714189
SRX8331150	ce11	Histone	11289977
SRX8331153	ce11	Histone	10720309
SRX8331154	ce11	Histone	7625281
SRX8331157	ce11	Histone	31107446
SRX8331158	ce11	Histone	11882389
SRX8331161	ce11	Histone	27925295
SRX8331162	ce11	Histone	34618852
SRX8331164	ce11	Histone	22929440
SRX8392417	ce11	TFs and others	8367369
SRX8392418	ce11	TFs and others	8304521
SRX8392419	ce11	TFs and others	8473861
SRX8392420	ce11	TFs and others	8332701
SRX8392427	ce11	TFs and others	7324400
SRX8392428	ce11	TFs and others	1769208
SRX8392429	ce11	TFs and others	8002944
SRX8392430	ce11	TFs and others	7482444
SRX8392431	ce11	TFs and others	10228115
SRX8392432	ce11	TFs and others	7913909
SRX8832063	ce11	Histone	32508562
SRX8832064	ce11	Histone	28425778
SRX8832065	ce11	Histone	20163291
SRX8832066	ce11	Histone	20583358
SRX8832067	ce11	Histone	15544248
SRX8832068	ce11	Histone	15364166
SRX8832069	ce11	Histone	14729232
SRX8832070	ce11	Histone	13358170
SRX8832071	ce11	Histone	15379429
SRX8832072	ce11	Histone	16427403
SRX8832073	ce11	Histone	18990401
SRX8832074	ce11	Histone	12283396
SRX8832075	ce11	Histone	13179853
SRX8832076	ce11	Histone	8640764
SRX8832077	ce11	Histone	15577553
SRX8832078	ce11	Histone	20915804
SRX8832079	ce11	TFs and others	15447502
SRX8832080	ce11	TFs and others	13036679
SRX8832081	ce11	TFs and others	13350384
SRX8832082	ce11	TFs and others	8896687
SRX8832083	ce11	TFs and others	14539728
SRX8832084	ce11	TFs and others	10512220
SRX8832085	ce11	TFs and others	21461172
SRX8832086	ce11	TFs and others	11817326
SRX8832087	ce11	TFs and others	10611046
SRX8832088	ce11	TFs and others	12306543
SRX8832089	ce11	TFs and others	19742564
SRX8832090	ce11	TFs and others	19789477
SRX8832091	ce11	TFs and others	31748053
SRX8832092	ce11	TFs and others	31385532
SRX8832093	ce11	TFs and others	22250857
SRX8832094	ce11	TFs and others	15511694
SRX8832095	ce11	TFs and others	12619188
SRX8832096	ce11	TFs and others	10882888
SRX8832097	ce11	TFs and others	10019332
SRX8832098	ce11	TFs and others	7752974
SRX8832099	ce11	TFs and others	17513053
SRX8832100	ce11	TFs and others	18824022
SRX8832101	ce11	TFs and others	20187825
SRX8832102	ce11	TFs and others	18464781
SRX8832103	ce11	TFs and others	14101553
SRX8832104	ce11	TFs and others	18341985
SRX8832105	ce11	TFs and others	6997969
SRX8832106	ce11	TFs and others	13247927
SRX8832107	ce11	TFs and others	17053745
SRX8832108	ce11	TFs and others	17070129
SRX8832109	ce11	TFs and others	16589313
SRX8832110	ce11	TFs and others	19166326
SRX8832111	ce11	TFs and others	11077363
SRX8832112	ce11	TFs and others	17679744
SRX8845620	ce11	ATAC-Seq	6930381
SRX8845621	ce11	ATAC-Seq	8944770
SRX8845622	ce11	ATAC-Seq	8906104
SRX8845623	ce11	ATAC-Seq	6657807
SRX8845624	ce11	ATAC-Seq	7267510
SRX8845625	ce11	ATAC-Seq	7505545
SRX8845626	ce11	ATAC-Seq	6465964
SRX8845627	ce11	ATAC-Seq	7092227
SRX8845628	ce11	ATAC-Seq	6488747
SRX8845629	ce11	ATAC-Seq	10128985
SRX8845630	ce11	ATAC-Seq	12775934
SRX8845637	ce11	ATAC-Seq	46179915
SRX8845638	ce11	ATAC-Seq	48875734
SRX8845639	ce11	ATAC-Seq	36993552
SRX8845640	ce11	ATAC-Seq	39938522
SRX8845641	ce11	ATAC-Seq	38664348
SRX8845642	ce11	ATAC-Seq	49704642
SRX8845643	ce11	ATAC-Seq	34620754
SRX8845644	ce11	ATAC-Seq	32516998
SRX8845645	ce11	ATAC-Seq	29668815
SRX8845646	ce11	ATAC-Seq	30118054
SRX8845647	ce11	ATAC-Seq	32587283
SRX8845648	ce11	ATAC-Seq	25233363
SRX8845649	ce11	ATAC-Seq	47129594
SRX8845650	ce11	ATAC-Seq	34629867
SRX8845651	ce11	ATAC-Seq	39634020
SRX8845652	ce11	ATAC-Seq	36116816
SRX8845653	ce11	ATAC-Seq	30341959
SRX8845654	ce11	ATAC-Seq	35803294
SRX8845655	ce11	ATAC-Seq	6777971
SRX8845656	ce11	ATAC-Seq	6984741
SRX8845657	ce11	ATAC-Seq	6511885
SRX9025733	ce11	ATAC-Seq	316741414
SRX9025734	ce11	ATAC-Seq	23004749
SRX9120606	ce11	TFs and others	37410483
SRX9120607	ce11	TFs and others	41837722
SRX9120608	ce11	TFs and others	27560836
SRX9120609	ce11	TFs and others	40312738
SRX9120610	ce11	TFs and others	42619141
SRX9120611	ce11	TFs and others	39221397
SRX9120612	ce11	TFs and others	29658545
SRX9120613	ce11	TFs and others	37768674
SRX9555449	ce11	TFs and others	21932842
SRX9555450	ce11	TFs and others	25997655
SRX9555451	ce11	TFs and others	22264005
SRX9555452	ce11	TFs and others	20936115
SRX9555453	ce11	TFs and others	39068285
SRX9555454	ce11	TFs and others	24005034
SRX9555455	ce11	TFs and others	21504004
SRX9555456	ce11	TFs and others	8289457
SRX9555457	ce11	TFs and others	27705962
SRX9555458	ce11	TFs and others	20336473
SRX9555459	ce11	TFs and others	23289161
SRX9555460	ce11	TFs and others	26818496
SRX9567166	ce11	TFs and others	19598085
SRX9567167	ce11	TFs and others	30931526
SRX9567168	ce11	TFs and others	19064285
SRX9567169	ce11	TFs and others	22845636
SRX9567170	ce11	TFs and others	27040874
SRX9567171	ce11	TFs and others	26549213
SRX9567172	ce11	TFs and others	21858738
SRX9567173	ce11	TFs and others	20321940
SRX9567174	ce11	TFs and others	24637979
SRX9567175	ce11	TFs and others	35168488
SRX9567176	ce11	TFs and others	20331244
SRX9567177	ce11	TFs and others	18839971
SRX9567178	ce11	TFs and others	20091920
SRX9567179	ce11	TFs and others	18267621
SRX9567180	ce11	TFs and others	23548842
SRX9567181	ce11	TFs and others	19158153
SRX9567190	ce11	RNA polymerase	14657143
SRX9567191	ce11	RNA polymerase	13413645
SRX9567192	ce11	RNA polymerase	16947048
SRX9567193	ce11	RNA polymerase	12569340
SRX9567194	ce11	RNA polymerase	13672633
SRX9567195	ce11	RNA polymerase	11144851
SRX9567196	ce11	RNA polymerase	13969671
SRX9567197	ce11	RNA polymerase	12265487
SRX9567198	ce11	RNA polymerase	14224263
SRX9567199	ce11	RNA polymerase	13328720
SRX9567200	ce11	RNA polymerase	8574763
SRX9567201	ce11	RNA polymerase	14495034
SRX9567202	ce11	RNA polymerase	14893600
SRX9567203	ce11	RNA polymerase	14331032
SRX9567204	ce11	RNA polymerase	11560982
SRX9567205	ce11	RNA polymerase	11307245
SRX958294	ce11	Histone	73597677
SRX958295	ce11	Histone	34130372
SRX958296	ce11	Histone	62865092
SRX958297	ce11	Histone	19526266
SRX982060	ce11	TFs and others	18405815
SRX982061	ce11	TFs and others	9373615
SRX982062	ce11	TFs and others	7648332
SRX982063	ce11	TFs and others	12423035
SRX982064	ce11	TFs and others	7887410
SRX982065	ce11	TFs and others	20608259
SRX982066	ce11	TFs and others	6126417
SRX982067	ce11	TFs and others	7224626
SRX982068	ce11	TFs and others	8231187
SRX982069	ce11	Histone	20362527
SRX982070	ce11	Histone	5932888
SRX982071	ce11	Histone	5885804
SRX982072	ce11	Histone	24103795
SRX982073	ce11	Histone	14661660
SRX982074	ce11	Histone	7295902
SRX982075	ce11	Histone	26326802
SRX982076	ce11	Histone	11868925
SRX982077	ce11	Histone	9211066
SRX982078	ce11	Histone	8489246
SRX982079	ce11	Histone	8070174
SRX982080	ce11	Histone	14032523
SRX982081	ce11	Histone	11533899
SRX982082	ce11	Histone	10807193
SRX982083	ce11	Histone	9334034
SRX982084	ce11	Histone	11041038
SRX982085	ce11	Histone	10867984
SRX982086	ce11	Histone	6450547
SRX982087	ce11	Histone	19049026
SRX982088	ce11	Histone	6243277
SRX9904330	ce11	RNA polymerase	8506202
SRX9904331	ce11	RNA polymerase	8942796
SRX9904332	ce11	RNA polymerase	10001393
SRX9904333	ce11	RNA polymerase	7843902
SRX9904334	ce11	Histone	5635197
SRX9904335	ce11	Histone	6721263
SRX9904336	ce11	Histone	7862676
SRX9904337	ce11	Histone	7102812
