accession	genome	experiment_type	num_reads
SRX080063	ce11	TFs and others	3273507
SRX080065	ce11	TFs and others	4285296
SRX080067	ce11	TFs and others	1161234
SRX080068	ce11	TFs and others	1799780
SRX080070	ce11	TFs and others	4382589
SRX080072	ce11	TFs and others	4764680
SRX080074	ce11	TFs and others	3689890
SRX080076	ce11	TFs and others	4285635
SRX080078	ce11	TFs and others	5303031
SRX080080	ce11	TFs and others	2341051
SRX080082	ce11	TFs and others	6303653
SRX080084	ce11	TFs and others	1573914
SRX080085	ce11	TFs and others	2502361
SRX080087	ce11	TFs and others	4800550
SRX080088	ce11	TFs and others	5992012
SRX080090	ce11	TFs and others	5139276
SRX080092	ce11	TFs and others	2955703
SRX080094	ce11	TFs and others	6016478
SRX080096	ce11	TFs and others	4663656
SRX080098	ce11	TFs and others	7035155
SRX080100	ce11	TFs and others	2751348
SRX080102	ce11	TFs and others	6275526
SRX080104	ce11	TFs and others	6438791
SRX080106	ce11	TFs and others	5315157
SRX094473	ce11	Histone	10356199
SRX094475	ce11	Histone	12796605
SRX094514	ce11	TFs and others	17659150
SRX094515	ce11	TFs and others	3221462
SRX1007131	ce11	RNA polymerase	6085075
SRX1007132	ce11	RNA polymerase	2905382
SRX1007133	ce11	RNA polymerase	9065402
SRX1007135	ce11	RNA polymerase	44398214
SRX1007136	ce11	RNA polymerase	34711485
SRX1007137	ce11	RNA polymerase	37064023
SRX1007138	ce11	RNA polymerase	38254702
SRX1010104	ce11	RNA polymerase	47790140
SRX1010106	ce11	RNA polymerase	1846797
SRX1010108	ce11	RNA polymerase	4692533
SRX10144728	ce11	ATAC-Seq	53318775
SRX10144729	ce11	ATAC-Seq	69225522
SRX10144730	ce11	ATAC-Seq	82331130
SRX10144731	ce11	ATAC-Seq	66095729
SRX10144732	ce11	ATAC-Seq	94001427
SRX10144733	ce11	ATAC-Seq	74504288
SRX10144734	ce11	ATAC-Seq	56172329
SRX10144735	ce11	ATAC-Seq	79047962
SRX10144736	ce11	ATAC-Seq	65409952
SRX10144737	ce11	ATAC-Seq	71692877
SRX10144738	ce11	ATAC-Seq	93407826
SRX10144739	ce11	ATAC-Seq	76927674
SRX10171460	ce11	Histone	9459939
SRX10171471	ce11	Histone	17146943
SRX10171472	ce11	Histone	13357392
SRX10171473	ce11	Histone	7807636
SRX10171474	ce11	Histone	13105655
SRX10171475	ce11	Histone	9996650
SRX10171476	ce11	Histone	6091584
SRX10171477	ce11	Histone	7767055
SRX10171478	ce11	Histone	7405822
SRX1030169	ce11	TFs and others	29502971
SRX10342574	ce11	Histone	31994480
SRX10342575	ce11	Histone	33852201
SRX10342576	ce11	Histone	43166998
SRX10342577	ce11	Histone	40204217
SRX10342590	ce11	Histone	17978083
SRX10342591	ce11	Histone	19971878
SRX10342592	ce11	Histone	24536500
SRX10342593	ce11	Histone	21968333
SRX10342594	ce11	Histone	20325733
SRX10342595	ce11	Histone	21539394
SRX10342596	ce11	Histone	22931718
SRX10342597	ce11	Histone	20823464
SRX10342598	ce11	Histone	22711499
SRX10342599	ce11	Histone	22815753
SRX10342600	ce11	Histone	20409694
SRX10342601	ce11	Histone	21049530
SRX10398999	ce11	TFs and others	17744254
SRX10399000	ce11	TFs and others	3543318
SRX10399002	ce11	TFs and others	10134276
SRX10399003	ce11	TFs and others	11520084
SRX10399006	ce11	TFs and others	6324800
SRX10399007	ce11	TFs and others	7823566
SRX10399012	ce11	TFs and others	12931999
SRX10399013	ce11	TFs and others	26032717
SRX10399015	ce11	TFs and others	19274405
SRX10399016	ce11	TFs and others	16652358
SRX10399019	ce11	TFs and others	10584561
SRX10399020	ce11	TFs and others	9344915
SRX10399023	ce11	TFs and others	30237542
SRX10399024	ce11	TFs and others	10514863
SRX10399027	ce11	TFs and others	13755672
SRX10399028	ce11	TFs and others	11513557
SRX10399029	ce11	TFs and others	12305094
